n_samples,eps,precision,recall,f1
2,2.9000000000000004,0.855460115343535,0.6030701754385965,0.6320032175874369
2,3.0000000000000004,0.8021308172391763,0.600328947368421,0.6260495648379101
2,3.1,0.7847827788633416,0.5531798245614035,0.5659870527095148
2,3.2,0.7200947964204227,0.5307017543859649,0.5295201934434917
2,3.3000000000000003,0.7196742143224886,0.5224780701754386,0.5168294928699897
2,3.4000000000000004,0.7655732058379733,0.5027412280701754,0.4910903389990222
2,3.5000000000000004,0.7617294377798937,0.49451754385964913,0.4790981363893435
2,3.6,0.6823099571731829,0.48081140350877194,0.4553992583798036
2,3.7,0.6436607603443462,0.46984649122807015,0.4337162655067742
2,3.8000000000000003,0.6364270463084399,0.4479166666666667,0.40699307663360584
2,3.9000000000000004,0.5556108593114347,0.3651315789473684,0.335705111889556
3,0.1,0.2631578947368421,0.13815789473684212,0.15878213869061805
3,0.2,0.2631578947368421,0.19956140350877194,0.20920707354631513
3,0.30000000000000004,0.2631578947368421,0.20449561403508773,0.2118990272233021
3,0.4,0.2631578947368421,0.20942982456140352,0.2151649229743939
3,0.5,0.3157894736842105,0.21820175438596492,0.22861764969129034
3,0.6,0.3684210526315789,0.22861842105263158,0.24347664262477772
3,0.7000000000000001,0.47368421052631576,0.24671052631578946,0.27017289404010136
3,0.8,0.6842105263157895,0.2817982456140351,0.3231378695034609
3,0.9,0.6842105263157895,0.3201754385964912,0.3711010757216429
3,1.0,0.8421052631578947,0.3673245614035088,0.42966012849743224
3,1.1,0.9461001902346227,0.4095394736842105,0.481575188095497
3,1.2000000000000002,0.9443084455324356,0.4468201754385965,0.5278228622674443
3,1.3000000000000003,0.9439359267734553,0.4917763157894737,0.5742491612370741
3,1.4000000000000001,0.9326732673267326,0.5219298245614035,0.5998225304244307
3,1.5000000000000002,0.8777934140163242,0.5520833333333334,0.6276901278953814
3,1.6,0.8695180941069112,0.5975877192982456,0.6670903851815617
3,1.7000000000000002,0.8696763912950833,0.6277412280701754,0.6930132324335266
3,1.8000000000000003,0.8687141193945963,0.6567982456140351,0.7189329104513688
3,1.9000000000000001,0.8587370026897909,0.662828947368421,0.713887712929029
3,2.0,0.8503479741795387,0.6770833333333334,0.7278715988002421
3,2.1,0.8422398554236369,0.6661184210526315,0.7069811704398713
3,2.2,0.8916332253072049,0.6726973684210527,0.7056615610659785
3,2.3000000000000003,0.8647398868494888,0.6644736842105263,0.7029120420525942
3,2.4000000000000004,0.8754783486094412,0.662828947368421,0.6903792127637306
3,2.5000000000000004,0.871376553914255,0.6578947368421053,0.6811580300713023
3,2.6,0.8526303966310614,0.6337719298245614,0.6665318443358843
3,2.7,0.8613630260328455,0.6228070175438597,0.6502300001909712
3,2.8000000000000003,0.861206914707807,0.6096491228070176,0.6370253996464323
3,2.9000000000000004,0.8550971389370015,0.5833333333333334,0.6135000762256246
3,3.0000000000000004,0.8017678408326429,0.5805921052631579,0.6077005270049147
3,3.1,0.7847827788633416,0.5317982456140351,0.5427587531411149
3,3.2,0.7200947964204227,0.5082236842105263,0.506845661114083
3,3.3000000000000003,0.7196742143224886,0.5005482456140351,0.49543111798289574
3,3.4000000000000004,0.7129416268906049,0.48793859649122806,0.47696759411102646
3,3.5000000000000004,0.7090978588325253,0.48026315789473684,0.46575647806354586
3,3.6,0.6296783782258145,0.4692982456140351,0.4454108390159959
3,3.7,0.5383976024496093,0.4621710526315789,0.425894640341226
3,3.8000000000000003,0.5311638884137031,0.4413377192982456,0.39946038168032116
3,3.9000000000000004,0.45023736267676634,0.36019736842105265,0.32828989192033736
4,0.1,0.21052631578947367,0.12554824561403508,0.1424818491794659
4,0.2,0.2631578947368421,0.19462719298245615,0.20642287491999217
4,0.30000000000000004,0.2631578947368421,0.2012061403508772,0.21002716223156456
4,0.4,0.2631578947368421,0.20559210526315788,0.21248054128029312
4,0.5,0.2631578947368421,0.21052631578947367,0.2176391886853794
4,0.6,0.3157894736842105,0.2149122807017544,0.2238198631984455
4,0.7000000000000001,0.3157894736842105,0.21984649122807018,0.2316997976766593
4,0.8,0.47368421052631576,0.22971491228070176,0.24801070897955002
4,0.9,0.631578947368421,0.26096491228070173,0.2965421660090734
4,1.0,0.6842105263157895,0.30098684210526316,0.35458232756799424
4,1.1,0.7348560079443893,0.3338815789473684,0.3990944447175703
4,1.2000000000000002,0.7852292020373515,0.375,0.4486444467862567
4,1.3000000000000003,0.8378378378378378,0.4067982456140351,0.48308652850414974
4,1.4000000000000001,0.878357627684433,0.4457236842105263,0.527322504680598
4,1.5000000000000002,0.9300742398240242,0.4791666666666667,0.5621508791359902
4,1.6,0.9221767478844776,0.5153508771929824,0.5922956921150545
4,1.7000000000000002,0.8683548421385605,0.5526315789473685,0.6260667997860541
4,1.8000000000000003,0.8692811343780874,0.5827850877192983,0.6523150453543352
4,1.9000000000000001,0.8583102493074792,0.5942982456140351,0.6555513644062071
4,2.0,0.8503546114238084,0.6008771929824561,0.663873298159064
4,2.1,0.8415648257530578,0.5981359649122807,0.6479412023809312
4,2.2,0.8380878651824704,0.6200657894736842,0.6627870905917707
4,2.3000000000000003,0.8610932218875202,0.6255482456140351,0.6730214419618374
4,2.4000000000000004,0.8729552781585495,0.6332236842105263,0.6666955914700903
4,2.5000000000000004,0.8683745066463674,0.6321271929824561,0.6605577660222505
4,2.6,0.8499737269109328,0.612390350877193,0.649107295045562
4,2.7,0.859281798245614,0.6069078947368421,0.6381397014118343
4,2.8000000000000003,0.8602281506152947,0.5921052631578947,0.6214861732992143
4,2.9000000000000004,0.8024845437907959,0.5707236842105263,0.6010823631924174
4,3.0000000000000004,0.8017678408326429,0.5707236842105263,0.5988224709921495
4,3.1,0.7843598136936039,0.5219298245614035,0.5328024887818531
4,3.2,0.7196796227340666,0.49835526315789475,0.49711223611724537
4,3.3000000000000003,0.7192736743820335,0.48903508771929827,0.48374399547710834
4,3.4000000000000004,0.7128139400627369,0.47752192982456143,0.4669165823137459
4,3.5000000000000004,0.7093564698606716,0.4720394736842105,0.4579399520102514
4,3.6,0.6824167691040757,0.4605263157894737,0.43804590059762377
4,3.7,0.5384199134199134,0.4517543859649123,0.4165299899812149
4,3.8000000000000003,0.5311749943189211,0.43530701754385964,0.39445444347941794
4,3.9000000000000004,0.45024245086460185,0.35581140350877194,0.3236110073366797
5,0.1,0.21052631578947367,0.12006578947368421,0.1383744977211402
5,0.2,0.2631578947368421,0.19188596491228072,0.20486555258704653
5,0.30000000000000004,0.2631578947368421,0.2012061403508772,0.21002716223156456
5,0.4,0.2631578947368421,0.20559210526315788,0.21248054128029312
5,0.5,0.2631578947368421,0.20778508771929824,0.21360698027584268
5,0.6,0.2631578947368421,0.20942982456140352,0.21446645676410142
5,0.7000000000000001,0.3157894736842105,0.21217105263157895,0.21881043140383438
5,0.8,0.3157894736842105,0.21546052631578946,0.22475936968359977
5,0.9,0.42105263157894735,0.23958333333333334,0.26426582047944586
5,1.0,0.6842105263157895,0.2680921052631579,0.30842079639084713
5,1.1,0.6828609986504722,0.2911184210526316,0.34224392585229046
5,1.2000000000000002,0.7323628219484883,0.32510964912280704,0.3912770505254128
5,1.3000000000000003,0.7323049001814882,0.35855263157894735,0.43104915203588645
5,1.4000000000000001,0.8248090815273478,0.3892543859649123,0.4666848528658723
5,1.5000000000000002,0.8249028094404247,0.42543859649122806,0.5043192944106692
5,1.6,0.9211056880794251,0.4473684210526316,0.522281162243583
